freekick_id,match_id,time,team_taking,freekick_type,location_x,location_y,delivery_target,outcome,is_shot,is_clearance,is_goal,winning_duel_id,contact_location_x,contact_location_y
153,16,37.68,VfL Bochum 1848,cross,32.72,28.46,edge box,clearance,False,True,False,252873.0,44.54,17.99
154,16,74.1,VfL Bochum 1848,layoff,88.96,25.23,penalty spot,clearance,False,True,False,230298.0,9.0,27.64
161,17,1.14,Kaizer Chiefs,layoff,62.52,39.17,edge box,shot,True,False,False,207421.0,16.11,13.24
162,17,35.56,Southampton,layoff,78.77,42.74,near post,shot,True,False,False,258407.0,14.53,8.33
171,18,40.48,Rapid Vienna,indirect,58.69,4.68,edge box,second ball,False,False,False,202884.0,37.86,22.01
172,18,30.63,Austria Klagenfurt,direct,87.48,36.36,penalty spot,shot,True,False,False,257176.0,16.21,43.89
181,19,81.31,Atlético Mineiro,indirect,28.05,39.13,far post,clearance,False,True,False,255070.0,35.74,45.95
182,19,73.08,Atlético Mineiro,cross,46.26,11.86,penalty spot,second ball,False,False,False,247721.0,80.26,9.73
183,19,14.91,Atlético Mineiro,direct,1.34,4.36,near post,second ball,False,False,False,208144.0,99.61,46.97
184,19,61.51,Crystal Palace,direct,74.91,36.25,edge box,clearance,False,True,False,236499.0,56.76,46.96
191,20,83.05,Arsenal,cross,51.43,45.12,edge box,shot,True,False,False,224902.0,92.4,18.16
192,20,46.4,Arsenal,layoff,54.56,19.69,near post,goal,True,False,True,258821.0,14.16,0.5
193,20,48.56,Palmeiras,cross,34.04,36.88,edge box,shot,True,False,False,239073.0,31.87,8.8
201,21,79.59,Leeds United,cross,92.77,3.18,near post,goal,True,False,True,192317.0,82.4,20.17
211,22,17.33,U.C. Sampdoria,cross,83.03,34.71,penalty spot,second ball,False,False,False,193062.0,47.4,1.91
221,23,45.64,Cruzeiro,direct,38.38,3.41,penalty spot,shot,True,False,False,188988.0,59.79,36.88
222,23,88.09,Cruzeiro,indirect,47.89,27.18,far post,shot,True,False,False,188377.0,19.95,33.07
231,24,3.54,Benevento,layoff,77.59,16.04,edge box,second ball,False,False,False,224232.0,33.77,16.88
241,25,41.1,FC Schalke 04,indirect,65.34,46.49,far post,shot,True,False,False,258879.0,55.6,22.2
242,25,78.35,FC Schalke 04,layoff,40.25,48.0,edge box,clearance,False,True,False,235805.0,29.15,42.61
251,26,29.94,Bayer 04 Leverkusen,cross,82.82,21.87,near post,shot,True,False,False,20801.0,68.27,34.1
252,26,74.44,Bayer 04 Leverkusen,direct,80.02,20.15,penalty spot,clearance,False,True,False,202940.0,26.08,49.81
253,26,44.66,Bayer 04 Leverkusen,layoff,46.72,39.25,penalty spot,second ball,False,False,False,236403.0,42.54,13.2
261,27,57.56,Bologna,layoff,82.14,9.74,penalty spot,clearance,False,True,False,228946.0,14.85,48.13
262,27,35.67,Bologna,indirect,20.47,9.99,far post,goal,True,False,True,234642.0,23.5,36.39
263,27,71.29,Hertha BSC,cross,95.62,43.71,near post,shot,True,False,False,210489.0,43.14,48.19
264,27,5.92,Bologna,direct,7.64,8.1,near post,goal,True,False,True,208534.0,88.55,25.09
271,28,39.96,Internacional,cross,62.25,38.87,edge box,clearance,False,True,False,215363.0,50.47,17.3
272,28,27.8,Internacional,layoff,56.42,6.16,penalty spot,second ball,False,False,False,241522.0,80.92,17.58
273,28,40.27,Internacional,direct,93.37,49.86,far post,shot,True,False,False,201262.0,27.8,23.91
274,28,42.4,Internacional,direct,81.23,5.32,near post,clearance,False,True,False,230447.0,35.81,18.44
275,28,81.79,Internacional,layoff,10.12,7.47,near post,clearance,False,True,False,266069.0,31.87,16.02
281,29,13.56,SV Werder Bremen,direct,6.01,42.86,far post,second ball,False,False,False,233978.0,27.38,19.37
282,29,19.61,SV Werder Bremen,layoff,89.43,39.75,near post,second ball,False,False,False,248385.0,89.94,8.81
283,29,35.05,Manchester City,direct,32.0,42.79,near post,clearance,False,True,False,230237.0,85.48,3.87
291,30,40.27,Leeds United,direct,95.77,1.07,near post,shot,True,False,False,233968.0,0.52,29.0
292,30,48.26,Leeds United,indirect,4.64,0.68,edge box,clearance,False,True,False,230213.0,64.18,17.24
293,30,19.05,Leeds United,layoff,90.78,46.76,edge box,clearance,False,True,False,234820.0,88.77,8.62
294,30,82.13,Leeds United,layoff,29.58,29.08,penalty spot,shot,True,False,False,193338.0,26.46,40.51
301,31,82.01,Newcastle United,cross,52.57,11.33,penalty spot,shot,True,False,False,264310.0,70.82,10.42
302,31,29.81,Spezia,indirect,66.89,26.61,penalty spot,shot,True,False,False,255360.0,95.91,13.41
303,31,57.7,Newcastle United,layoff,52.96,8.04,edge box,clearance,False,True,False,210384.0,17.95,25.67
311,32,38.53,Brentford,indirect,55.87,44.63,far post,second ball,False,False,False,236498.0,91.09,6.83
312,32,34.21,Brentford,direct,10.17,1.93,far post,goal,True,False,True,219932.0,58.06,44.1
321,33,24.25,Monza,direct,47.67,47.87,far post,clearance,False,True,False,211506.0,62.01,12.43
322,33,13.01,Monza,indirect,36.24,44.94,penalty spot,clearance,False,True,False,251218.0,56.46,13.74
331,34,5.95,Benevento,cross,64.56,2.81,penalty spot,shot,True,False,False,185122.0,26.39,8.05
332,34,55.45,FC Red Bull Salzburg,direct,52.34,25.73,penalty spot,clearance,False,True,False,205089.0,79.46,28.96
341,35,66.12,1. FC Köln,indirect,99.63,5.84,near post,goal,True,False,True,268624.0,85.19,16.27
351,36,2.63,Sport-Club Freiburg,direct,73.75,25.62,penalty spot,clearance,False,True,False,230338.0,80.86,22.86
352,36,3.08,Aston Villa,direct,39.97,20.44,near post,clearance,False,True,False,216282.0,20.26,39.47
353,36,21.63,Sport-Club Freiburg,indirect,39.23,33.77,far post,second ball,False,False,False,269458.0,53.93,31.01
361,37,4.97,VfL Bochum 1848,indirect,29.29,48.1,edge box,clearance,False,True,False,231874.0,57.46,27.24
362,37,36.73,VfL Bochum 1848,layoff,99.44,49.35,far post,clearance,False,True,False,229906.0,43.48,50.0
371,38,18.35,FC Bayern München,layoff,70.16,10.75,near post,no outcome,False,False,False,246785.0,64.83,34.08
372,38,10.24,FC Bayern München,indirect,29.4,19.56,near post,clearance,False,True,False,234573.0,75.57,47.63
381,39,2.67,Austria Lustenau,layoff,55.1,35.5,penalty spot,shot,True,False,False,207894.0,96.57,42.08
391,40,52.78,Vasco da Gama,cross,51.71,9.74,far post,second ball,False,False,False,218534.0,28.57,16.05
401,41,61.03,Paderborn,cross,35.78,48.59,edge box,clearance,False,True,False,261025.0,93.23,39.25
411,42,4.92,Genoa,indirect,40.87,13.59,far post,shot,True,False,False,246100.0,46.79,10.64
412,42,21.2,U.C. Sampdoria,cross,37.79,47.13,edge box,shot,True,False,False,255206.0,0.41,26.04
413,42,48.03,Genoa,direct,72.27,21.59,penalty spot,clearance,False,True,False,205934.0,36.4,16.51
414,42,36.26,U.C. Sampdoria,layoff,37.9,45.0,far post,shot,True,False,False,202562.0,48.34,19.66
421,43,60.86,Ried,direct,32.64,46.54,far post,shot,True,False,False,263132.0,96.32,1.85
422,43,17.35,Sturm Graz,layoff,48.4,22.67,penalty spot,no outcome,False,False,False,230708.0,52.09,40.48
423,43,19.61,Sturm Graz,cross,12.99,12.31,penalty spot,shot,True,False,False,227511.0,15.44,27.7
424,43,45.6,Sturm Graz,layoff,68.92,24.06,near post,no outcome,False,False,False,268080.0,99.94,45.55
431,44,39.97,Bayer 04 Leverkusen,indirect,14.16,38.53,near post,clearance,False,True,False,230409.0,20.26,28.96
432,44,41.62,Bayer 04 Leverkusen,direct,58.48,26.08,penalty spot,second ball,False,False,False,230461.0,64.88,6.89
433,44,65.9,Admira,indirect,88.31,48.35,edge box,no outcome,False,False,False,197853.0,82.06,17.01
434,44,78.48,Bayer 04 Leverkusen,direct,32.7,5.57,near post,goal,True,False,True,230277.0,80.42,8.8
435,44,77.22,Admira,direct,31.83,40.97,penalty spot,goal,True,False,True,184111.0,85.27,45.6
441,45,69.99,Wolverhampton Wanderers,layoff,9.23,42.35,penalty spot,clearance,False,True,False,246143.0,57.16,42.92
442,45,82.85,Wolverhampton Wanderers,direct,19.97,30.22,far post,clearance,False,True,False,241769.0,66.9,43.22
443,45,58.25,Wolverhampton Wanderers,layoff,89.13,34.95,near post,goal,True,False,True,195864.0,18.91,3.32
444,45,71.96,Wolverhampton Wanderers,cross,73.95,43.15,near post,shot,True,False,False,201884.0,41.89,29.71
451,46,79.25,Austria Lustenau,indirect,38.62,8.96,near post,shot,True,False,False,258437.0,36.24,36.76
452,46,89.39,Austria Lustenau,layoff,17.74,43.74,penalty spot,second ball,False,False,False,221885.0,97.83,17.86
453,46,57.3,Austria Lustenau,layoff,15.68,6.06,penalty spot,clearance,False,True,False,187598.0,37.14,5.78
454,46,88.24,FC Flyeralarm Admira,indirect,96.88,44.75,edge box,shot,True,False,False,262939.0,84.36,24.27
461,47,43.06,Associação Chapecoense de Futebol,layoff,71.31,20.64,penalty spot,shot,True,False,False,195038.0,51.57,15.05
462,47,40.62,Associação Chapecoense de Futebol,layoff,4.3,27.64,far post,second ball,False,False,False,202429.0,90.17,8.61
463,47,85.8,Sport-Club Freiburg,cross,89.45,5.24,edge box,second ball,False,False,False,208165.0,99.5,37.58
471,48,49.49,Wattens,layoff,44.89,5.09,penalty spot,shot,True,False,False,230347.0,54.46,44.23
472,48,64.46,Wattens,indirect,20.84,35.56,edge box,shot,True,False,False,261264.0,28.31,15.57
473,48,6.04,Werder Bremen,direct,70.54,21.17,edge box,shot,True,False,False,266074.0,44.46,29.38
474,48,67.3,Werder Bremen,layoff,35.4,42.49,near post,shot,True,False,False,216145.0,74.97,41.67
475,48,27.75,Werder Bremen,layoff,59.97,26.47,near post,clearance,False,True,False,156616.0,85.98,18.14
481,49,43.8,São Paulo,indirect,43.36,37.55,far post,clearance,False,True,False,247656.0,58.39,1.85
482,49,12.76,São Paulo,direct,79.53,5.32,penalty spot,shot,True,False,False,260910.0,30.27,30.53
483,49,4.66,Bayer 04 Leverkusen,layoff,84.66,29.1,penalty spot,shot,True,False,False,201858.0,87.61,34.52
484,49,5.32,Bayer 04 Leverkusen,layoff,54.19,28.26,penalty spot,second ball,False,False,False,233960.0,71.44,33.14
491,50,48.25,Fulham,direct,29.65,24.3,penalty spot,second ball,False,False,False,246104.0,71.75,48.3
492,50,3.2,Sassuolo,cross,84.38,16.07,edge box,shot,True,False,False,186345.0,0.09,21.96
501,51,4.53,WSG Tirol,indirect,82.41,26.35,penalty spot,shot,True,False,False,268104.0,25.83,20.93
502,51,5.08,SpVgg Greuther Fürth,layoff,98.1,31.86,edge box,clearance,False,True,False,199652.0,85.26,35.66
503,51,18.3,SpVgg Greuther Fürth,cross,28.15,1.28,penalty spot,goal,True,False,True,234742.0,33.22,46.67
504,51,38.62,SpVgg Greuther Fürth,layoff,1.64,49.31,near post,second ball,False,False,False,234333.0,55.26,36.2
511,52,44.92,Eintracht Frankfurt,layoff,49.04,14.06,penalty spot,second ball,False,False,False,237034.0,7.21,4.41
512,52,37.74,Wattens,indirect,90.61,21.4,far post,second ball,False,False,False,230389.0,3.31,41.95
513,52,81.03,Wattens,indirect,41.08,40.27,penalty spot,second ball,False,False,False,253259.0,41.21,13.53
521,53,21.81,Nottingham Forest,direct,32.13,5.57,near post,second ball,False,False,False,255409.0,16.11,40.67
522,53,22.04,Nottingham Forest,indirect,29.58,36.58,near post,clearance,False,True,False,233096.0,77.36,27.08
531,54,64.7,Hellas Verona,layoff,46.62,42.22,far post,second ball,False,False,False,200647.0,63.42,13.63
532,54,56.97,Hellas Verona,direct,68.36,16.95,penalty spot,shot,True,False,False,223867.0,7.65,46.14
541,55,27.02,Udinese,direct,57.01,38.35,near post,goal,True,False,True,223848.0,57.3,38.78
542,55,29.63,Spezia,indirect,31.36,10.5,far post,clearance,False,True,False,158777.0,62.02,42.32
543,55,39.47,Udinese,indirect,47.56,31.9,penalty spot,clearance,False,True,False,242160.0,72.85,21.83
544,55,16.62,Udinese,cross,84.91,41.6,far post,shot,True,False,False,247028.0,61.37,38.67
545,55,85.14,Spezia,layoff,58.52,40.18,far post,shot,True,False,False,242562.0,88.36,24.69
551,56,55.4,CSA,cross,45.57,32.15,near post,clearance,False,True,False,138412.0,27.62,18.2
561,57,74.34,Atalanta,layoff,73.42,43.25,far post,clearance,False,True,False,173130.0,59.61,2.96
571,58,25.6,VfL Bochum 1848,direct,77.37,2.31,far post,shot,True,False,False,202282.0,78.1,31.02
572,58,78.2,Austria Wien,indirect,2.73,24.61,far post,shot,True,False,False,264342.0,78.51,7.94
573,58,63.55,VfL Bochum 1848,layoff,84.47,9.91,penalty spot,shot,True,False,False,256862.0,31.18,10.29
581,59,44.73,FC Köln,direct,9.2,19.88,near post,second ball,False,False,False,229733.0,49.66,33.75
582,59,80.06,FC Köln,indirect,38.8,6.46,edge box,second ball,False,False,False,260924.0,75.83,20.43
583,59,41.53,FC Köln,direct,82.11,21.43,edge box,clearance,False,True,False,152747.0,87.63,43.49
584,59,9.39,U.S. Sassuolo Calcio,layoff,36.46,27.46,edge box,shot,True,False,False,169595.0,0.34,12.16
591,60,34.45,AC Milan,layoff,50.13,25.55,near post,second ball,False,False,False,207707.0,43.46,30.66
592,60,63.15,AC Milan,cross,16.25,46.73,far post,shot,True,False,False,230489.0,77.1,47.67
593,60,51.39,AC Milan,cross,28.78,27.34,penalty spot,second ball,False,False,False,193352.0,65.82,45.42
601,61,25.25,Vasco da Gama,direct,55.06,13.45,far post,second ball,False,False,False,241042.0,66.15,18.16
602,61,80.33,CSA,direct,58.03,29.87,penalty spot,second ball,False,False,False,238900.0,58.38,40.01
603,61,2.72,CSA,cross,50.97,9.99,far post,goal,True,False,True,236147.0,72.16,15.56
604,61,71.89,Vasco da Gama,cross,26.07,5.47,near post,clearance,False,True,False,186158.0,89.9,27.05
611,62,12.35,U.C. Sampdoria,cross,46.46,12.94,far post,no outcome,False,False,False,224271.0,48.17,42.49
612,62,87.28,U.C. Sampdoria,cross,52.71,25.31,near post,no outcome,False,False,False,227927.0,14.17,35.86
613,62,30.66,Bragantino,direct,9.6,44.46,penalty spot,clearance,False,True,False,230497.0,94.23,40.83
621,63,27.74,SC Freiburg,layoff,45.39,24.2,penalty spot,second ball,False,False,False,264247.0,77.17,30.75
631,64,3.52,Cruzeiro,indirect,66.13,26.76,penalty spot,clearance,False,True,False,227370.0,41.58,9.55
632,64,55.92,Paderborn,direct,68.52,32.33,edge box,no outcome,False,False,False,230217.0,45.44,24.37
641,65,4.18,Fiorentina,layoff,75.32,9.06,penalty spot,shot,True,False,False,230520.0,6.88,0.32
642,65,39.97,FC Union Berlin,layoff,66.04,14.94,edge box,clearance,False,True,False,236344.0,6.06,30.07
643,65,75.4,FC Union Berlin,layoff,75.15,20.2,penalty spot,shot,True,False,False,226536.0,12.13,10.3
644,65,47.0,FC Union Berlin,direct,85.54,27.0,edge box,second ball,False,False,False,210047.0,84.78,32.41
645,65,75.19,Fiorentina,layoff,68.66,6.56,near post,second ball,False,False,False,236898.0,22.39,20.39
651,66,80.89,Ceará Sporting Club,layoff,99.18,39.91,near post,goal,True,False,True,206304.0,63.71,3.49
652,66,34.09,Ceará Sporting Club,layoff,71.27,17.67,far post,no outcome,False,False,False,244389.0,19.13,33.09
653,66,63.73,Sport-Club Freiburg,direct,94.02,47.37,edge box,clearance,False,True,False,230182.0,98.08,38.8
661,67,57.46,Sassuolo,indirect,46.47,9.29,near post,shot,True,False,False,177129.0,61.85,18.84
662,67,38.44,Watford,layoff,29.88,36.91,edge box,goal,True,False,True,190547.0,54.46,13.29
663,67,66.27,Watford,layoff,24.59,18.52,edge box,clearance,False,True,False,199914.0,57.82,3.69
664,67,32.44,Watford,direct,19.28,28.73,edge box,clearance,False,True,False,204936.0,1.43,6.79
665,67,14.08,Watford,indirect,0.75,0.64,far post,goal,True,False,True,263172.0,12.36,14.5
671,68,36.26,Wattens,direct,81.05,43.47,far post,shot,True,False,False,248484.0,35.07,22.88
672,68,9.02,Wattens,indirect,63.4,44.11,near post,second ball,False,False,False,248149.0,38.26,5.7
673,68,61.57,Lecce,layoff,26.24,18.23,far post,shot,True,False,False,228946.0,16.67,4.65
674,68,63.01,Lecce,cross,51.94,32.17,penalty spot,shot,True,False,False,244629.0,97.15,38.98
681,69,23.93,Nottingham Forest,layoff,66.99,4.02,penalty spot,shot,True,False,False,221841.0,86.54,6.83
691,70,68.62,SV Werder Bremen,direct,18.55,35.37,far post,shot,True,False,False,203042.0,17.6,21.83
692,70,13.29,SV Werder Bremen,direct,98.81,28.51,near post,clearance,False,True,False,230349.0,23.3,43.69
693,70,18.19,Spezia,direct,62.04,45.63,far post,shot,True,False,False,201535.0,61.93,6.08
694,70,42.49,SV Werder Bremen,layoff,68.38,8.68,far post,shot,True,False,False,266292.0,69.59,39.76
701,71,22.0,Juventus,direct,8.12,9.2,edge box,second ball,False,False,False,230470.0,92.89,24.51
702,71,19.02,Juventus,indirect,66.04,43.75,edge box,second ball,False,False,False,213750.0,27.95,44.29
711,72,88.09,Udinese,cross,54.76,29.88,edge box,shot,True,False,False,231485.0,43.07,35.41
721,73,30.38,Manchester United,layoff,26.09,8.58,near post,clearance,False,True,False,230519.0,93.61,0.41
722,73,10.71,Manchester United,cross,1.81,27.73,near post,second ball,False,False,False,257916.0,73.56,49.33
723,73,41.72,Manchester United,layoff,88.93,18.8,near post,second ball,False,False,False,184037.0,24.39,35.89
724,73,5.46,Manchester United,cross,5.73,6.93,penalty spot,clearance,False,True,False,186156.0,54.55,24.52
731,74,9.74,Internacional,cross,39.37,44.36,edge box,shot,True,False,False,184111.0,77.9,0.43
732,74,8.21,Udinese,direct,52.33,46.83,penalty spot,shot,True,False,False,221944.0,53.79,20.58
733,74,31.11,Udinese,layoff,10.97,34.44,penalty spot,shot,True,False,False,255565.0,69.78,31.5
741,75,14.78,Mamelodi Sundowns,cross,42.81,19.33,edge box,goal,True,False,True,247082.0,13.56,45.72
742,75,65.44,Genoa,direct,85.46,41.44,edge box,clearance,False,True,False,205897.0,97.46,2.4
743,75,55.57,Genoa,direct,22.84,44.73,near post,shot,True,False,False,211899.0,30.9,4.11
744,75,77.38,Genoa,layoff,15.08,49.86,near post,shot,True,False,False,258626.0,33.07,19.41
745,75,46.21,Mamelodi Sundowns,indirect,8.68,27.81,far post,shot,True,False,False,230361.0,93.98,11.9
751,76,7.98,Rheindorf Altach,cross,75.43,11.14,penalty spot,clearance,False,True,False,215798.0,91.11,25.07
752,76,56.19,Rheindorf Altach,indirect,28.78,6.31,far post,shot,True,False,False,206086.0,18.0,9.39
753,76,75.85,Rheindorf Altach,indirect,57.51,31.61,far post,shot,True,False,False,262183.0,93.44,4.73
761,77,18.7,Mamelodi Sundowns,indirect,86.54,39.9,near post,no outcome,False,False,False,173373.0,48.48,1.6
762,77,67.47,Spartak Moskva,cross,22.88,37.35,near post,second ball,False,False,False,183644.0,44.4,8.35
771,78,25.88,Club Athletico Paranaense,cross,85.09,0.09,near post,second ball,False,False,False,245100.0,47.89,33.8
781,79,73.34,SpVgg Greuther Fürth,layoff,73.33,12.39,penalty spot,no outcome,False,False,False,209957.0,89.04,40.01
782,79,7.39,SpVgg Greuther Fürth,indirect,90.58,33.04,near post,shot,True,False,False,252042.0,73.21,8.31
791,80,77.49,Sampdoria,direct,28.53,39.48,penalty spot,clearance,False,True,False,229237.0,61.75,32.5
792,80,14.69,Sampdoria,direct,39.14,15.04,penalty spot,clearance,False,True,False,263953.0,23.79,8.79
793,80,83.35,Sampdoria,indirect,74.11,20.62,penalty spot,shot,True,False,False,189509.0,22.44,23.56
794,80,65.86,Borussia Dortmund,direct,50.31,16.48,penalty spot,shot,True,False,False,230686.0,77.2,28.96
795,80,47.2,Sampdoria,cross,56.51,13.15,penalty spot,shot,True,False,False,218667.0,5.5,31.85
801,81,47.8,Leeds United,indirect,11.93,20.5,near post,clearance,False,True,False,221841.0,25.54,29.63
811,82,16.04,Fortuna Düsseldorf,direct,93.64,34.83,edge box,shot,True,False,False,233265.0,24.18,0.39
812,82,74.39,Udinese,direct,36.28,14.1,near post,no outcome,False,False,False,212755.0,93.34,47.4
813,82,55.37,Fortuna Düsseldorf,direct,94.77,26.35,edge box,goal,True,False,True,251229.0,85.44,13.97
821,83,50.7,FC Köln,cross,58.89,17.18,penalty spot,second ball,False,False,False,230681.0,32.4,46.55
822,83,44.02,DSC Arminia Bielefeld,indirect,39.8,22.38,penalty spot,shot,True,False,False,240044.0,55.01,49.42
823,83,78.23,DSC Arminia Bielefeld,layoff,32.86,42.89,penalty spot,second ball,False,False,False,237595.0,85.21,19.53
824,83,78.92,FC Köln,direct,77.29,44.91,edge box,goal,True,False,True,230381.0,29.72,33.49
825,83,79.54,FC Köln,indirect,46.85,12.67,penalty spot,shot,True,False,False,223890.0,71.35,48.68
831,84,84.74,Atlético Mineiro,layoff,52.44,6.37,penalty spot,no outcome,False,False,False,236838.0,18.81,32.7
841,85,46.38,Kaizer Chiefs,layoff,56.11,31.36,edge box,no outcome,False,False,False,262659.0,32.62,25.43
842,85,6.68,Kaizer Chiefs,direct,72.39,29.37,penalty spot,clearance,False,True,False,235569.0,61.07,34.73
843,85,46.83,Kaizer Chiefs,indirect,37.12,19.78,far post,goal,True,False,True,261300.0,47.38,32.99
844,85,34.81,Internacional,direct,90.68,10.85,edge box,clearance,False,True,False,230214.0,56.26,35.35
845,85,55.35,Kaizer Chiefs,layoff,64.48,49.57,far post,no outcome,False,False,False,243048.0,79.53,4.64
851,86,35.25,Bologna,direct,93.54,4.9,far post,shot,True,False,False,234943.0,59.03,36.2
861,87,70.14,América Mineiro,indirect,82.18,3.62,edge box,second ball,False,False,False,257636.0,99.09,10.56
862,87,18.27,Rapid Vienna,layoff,19.27,43.88,near post,shot,True,False,False,215370.0,80.08,30.39
871,88,34.67,Leicester City,cross,84.19,36.57,far post,shot,True,False,False,232080.0,51.53,34.44
872,88,25.76,Leicester City,direct,88.45,49.52,near post,clearance,False,True,False,240916.0,44.01,23.37
873,88,50.43,Club Athletico Paranaense,layoff,11.94,3.03,penalty spot,shot,True,False,False,241941.0,77.94,4.35
874,88,7.21,Club Athletico Paranaense,layoff,61.31,42.76,near post,shot,True,False,False,210896.0,96.78,14.25
881,89,58.88,Eintracht Frankfurt,layoff,18.1,14.64,penalty spot,shot,True,False,False,246154.0,96.29,1.0
882,89,21.5,Eintracht Frankfurt,cross,56.83,26.83,near post,clearance,False,True,False,230199.0,18.17,40.78
883,89,29.09,Schalke 04,indirect,67.09,3.61,near post,shot,True,False,False,230530.0,64.7,9.03
891,90,70.7,Spezia,layoff,58.64,19.97,edge box,clearance,False,True,False,184111.0,29.01,16.61
901,91,40.58,Crotone,cross,42.81,28.97,edge box,clearance,False,True,False,220793.0,49.35,38.62
902,91,53.55,Kaizer Chiefs,direct,37.91,12.73,edge box,shot,True,False,False,268656.0,7.46,11.06
